	rome_1556	Val_S	BC_Ms_739	Digby_233	Vat_Reg_Lat_844
0	CAP. 1. 	¶ 	¶Capitol. i. 		ca . i. 
1|2|3	Quomodo diuiduntur potentiæ animæ, |et in quibus potentiis habent esse virtutes. |Ostquam auxiliante Deo conpleuimus primam partem huius primi libri, 	El primer capitło de commo se departen los pode rios del alma· |Et en quales poderios han de seer las uirtudes / · |ffolibro.¶de la segunda libro parte del primo|ues que ya con el ayuda de dios |acabamos la primera parte deste libro 	en qual manera son de partides les potencies dela anima |e en quals potencies han esser les uirtuts. |Epus que deus auidant hauen conplida la priman partida daquest primer libre 	After that by help of God |we hauen iended the furste partie |of pis firste book 	quomodo diduntur potentiae anime |et inquibus pociniciis habent esse uirtutes ostquam auxliante deo compleuimus pͥmam partem huius primi libri 
4	in quo agitur de regimine sui. 	primero en que se tracta del gouernamiento del omnen en ssi /· 	en lo quil es tractar del regiment desimatex demostrant 	in the whiche it is itreted |of mannis owne gouernaunce, 	in quo agitur de regerie suionondentes 
5	Ostendentes in quo reges et principes suam felicitatem debeant ponere, 	Et mostramos en que deuen poner los Reyes e los prinçipes |la su feliçidat e la su bien andança /· 	en qual cosa los Reys els princeps degen posar la sua benauenturança/. 	schewynge wherinne kynges and princes schullen sette here felicite. 	in quo reges et principes suam felicitatem ponere debeant 
6|7	quia non decet eos suum finem ponere in diuitijs, |nec in ciuili potentia, 	Et que non los conuiene poner la su fin en riquezas |nin en poderio çiuil 	Quar nos partany dells posar la sua si en riq̃hes ne enpotencia ciuil 	For it is not semelich |for hem to sette here ende in riches |noper in cyuil my3t and strengthe, 	quia non decet eos suum finem ponere |in di̾⟦ ⟧ potentiae 
8|9	nec in aliquibus talibus, |sed omnibus his 	nin en nuguaso tris cosas corporales nin tenporales 	ne en altres coses aytals |ans de tots coses aytals 	noper in no suche thinges; |but he schal vse al suche thinges, 	nec i aliquibus talibus. |Sed ⟦ ⟧ uͥbus coniit 
10	(vt supra plenius probabatar ) debent 	Mas assi commo prouamos conplidamente de suso |deuen husar de todas estas cosas 	segons que damunt era prouat 	as it is proued |tofore atte folle, 	ut supra plenius probatur debenont 
11	vti tanquam organis ad felicitatem. 	assi commo de instrumentos |para ganar la feliçidat e la bien andança · 	deuen usar axi com dorguens o de in strumens abenauenturanca/ 	as instrumentis and inuen[cliones |for to come to felicitee. 	uti tanquam organis ad felicitatem. 
12	Suam autem felicitatem ponere debent in actu prudentiæ, 	Mas la su bien andança |deuen poner en obras de pradençia 	Mas la sua benauenturança deuen posar en fer |o en obra deprudencia o desauiea 	Pei schullen sette here felicite |in dede of prudencia, 	Suam autem felicitatem ponere debent in actu pͥdencie. 
13	prout talis actus est imperatus à 	e de sabiduria |segund que tales obras son regladas 	segons que tal fer oral obra es manada per caritat/	as that dede cometh of charite. 	prout talis actus est inperatus a caritate. 
		por caridat e por el amor de dios 			
